SAN,In Use?,split cert already created?,us-east-1 or us-west-2,client_id,aws_profile,local_domain,servers_added,name_filters
*.trincloud.aspgov.com,yes,,,TRIN,PALegacyFinEntTRIN,trin.cloud.lcl,,"trkwb,etawb"
*.tukwcloud.aspgov.com,yes,,,TUKW,PALegacyFinEntTUKW,tukw.cloud.lcl,,"trkwb,etawb"
*.tuolcloud.aspgov.com,yes,,,TUOL,PALegacyFinEntTUOL,tuol.cloud.lcl,,"trkwb,etawb"
*.unmcloud.aspgov.com,yes,,,UNM,PALegacyFinEntUNM,unm.cloud.lcl,,"trkwb,etawb"
*.vallcloud.aspgov.com,yes,,,VALL,PALegacyFinEntVALL,vall.cloud.lcl,,"trkwb,etawb"
*.vanicloud.aspgov.com,no,,,VANI,PALegacyFinEntVANI,vani.cloud.lcl,,
*.west.aspgov.com,no,,,WEST,PALegacyFinEntWEST,west.cloud.lcl,,
*.westcloud.aspgov.com,yes,,,WEST,PALegacyFinEntWEST,west.cloud.lcl,,"trkwb,etawb"
*.ncrtdcloud.aspgov.com,yes,,,NCRTD,PALegacyFinEntNCRTD,ncrtd.cloud.lcl,,"trkwb,etawb"
*.elkocloud.aspgov.com,yes,,,ELKO,PALegacyFinEntELKO,elko.cloud.lcl,,"trkwb,etawb"
*.lwclcloud.aspgov.com,yes,yes,,LWCL,PALegacyFinEntLWCL,lwcl.cloud.lcl,,
*.beltcloud.aspgov.com,yes,,,BELT,PALegacyFinEntBELT,belt.cloud.lcl,,"trkwb,etawb"
*.pocacloud.aspgov.com,no,,,POCA,PALegacyFinEntPOCA,poca.cloud.lcl,,
*.tehcloud.aspgov.com,yes,,,TEH,PALegacyFinEntTEH,teh.cloud.lcl,,"trkwb,etawb"
*.sanacloud.aspgov.com,yes,,,SANA,PALegacyFinEntSANA,sana.cloud.lcl,,"trkwb,etawb"
*.dcsccloud.aspgov.com,yes,,,DCSC,PALegacyFinEntDCSC,dcsc.cloud.lcl,,"trkwb,etawb"
*.rckccloud.aspgov.com,yes,,,RCKC,PALegacyFinEntRCKC,rckc.cloud.lcl,,"trkwb,etawb"
*.camcocloud.aspgov.com,yes,,,CAMCO,PALegacyFinEntCAMCO,camco.cloud.lcl,,"trkwb,etawb"
*.cdrfcloud.aspgov.com,yes,yes,,CDRF,PALegacyFinEntCDRF,cdrf.cloud.lcl,,
*.svcsdemocloud.aspgov.com,no,,,SVCSDEMO,PALegacyFinEntSVCSDEMO,svcsdemo.cloud.lcl,,
*.sjrtdcloud.aspgov.com,yes,,,SJRTD,PALegacyFinEntSJRTD,sjrtd.cloud.lcl,,"trkwb,etawb"
*.yavacloud.aspgov.com,yes,,,YAVA,PALegacyFinEntYAVA,yava.cloud.lcl,,"trkwb,etawb"
*.solcloud.aspgov.com,yes,,,SOL,PALegacyFinEntSOL,sol.cloud.lcl,,"trkwb,etawb"
*.mukicloud.aspgov.com,yes,,,MUKI,PALegacyFinEntMUKI,muki.cloud.lcl,,"trkwb,etawb"
*.washccloud.aspgov.com,no,,,WASHC,PALegacyFinEntWASHC,washc.cloud.lcl,,
