SAN,In Use?,split cert already created?,us-east-1 or us-west-2,client_id,aws_profile,local_domain,servers_added,name_filters
*.mericloud.aspgov.com,no,,,MERI,PALegacyFinEntMERI,meri.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf"
*.mobicld.aspgov.com,no,,,MOBI,PALegacyFinEntMOBI,mobi.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf"
*.mtccloud.aspgov.com,yes,,,MTC,PALegacyFinEntMTC,mtc.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf,trkwb,etawb"
*.murrcloud.aspgov.com,yes,,,MURR,PALegacyFinEntMURR,murr.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf,trkwb,etawb"
*.nuccloud.aspgov.com,no,,,NUC,PALegacyFinEntNUC,nuc.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf"
*.pietdcloud.aspgov.com,yes,,,PIETD,PALegacyFinEntPIETD,pietd.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf,trkwb,etawb"
*.plchccloud.aspgov.com,no,,,PLCHC,PALegacyFinEntPLCHC,plchc.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf"
*.plcntcloud.aspgov.com,no,,,PLCNT,PALegacyFinEntPLCNT,plcnt.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf"
*.puycloud.aspgov.com,no,,,PUY,PALegacyFinEntPUY,puy.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf"
*.racocloud.aspgov.com,yes,,,RACO,PALegacyFinEntRACO,raco.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf,trkwb,etawb"
*.scrcloud.aspgov.com,yes,,,SCR,PALegacyFinEntSCR,scr.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf,trkwb,etawb"
*.shdcloud.aspgov.com,no,,,SHD,PALegacyFinEntSHD,shd.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf"
*.sjccloud.aspgov.com,no,,,SJC,PALegacyFinEntSJC,sjc.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf"
*.sjscloud.aspgov.com,yes,,,SJS,PALegacyFinEntSJS,sjs.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf,trkwb,etawb"
*.stpbcloud.aspgov.com,yes,,,STPB,PALegacyFinEntSTPB,stpb.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf,trkwb,etawb"
*.tcacloud.aspgov.com,yes,,,TCA,PALegacyFinEntTCA,tca.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf,trkwb,etawb"
*.trincloud.aspgov.com,yes,,,TRIN,PALegacyFinEntTRIN,trin.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf,trkwb,etawb"
*.tukwcloud.aspgov.com,yes,,,TUKW,PALegacyFinEntTUKW,tukw.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf,trkwb,etawb"
*.tuolcloud.aspgov.com,yes,,,TUOL,PALegacyFinEntTUOL,tuol.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf,trkwb,etawb"
*.unmcloud.aspgov.com,yes,,,UNM,PALegacyFinEntUNM,unm.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf,trkwb,etawb"
*.vallcloud.aspgov.com,yes,,,VALL,PALegacyFinEntVALL,vall.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf,trkwb,etawb"
*.vanicloud.aspgov.com,no,,,VANI,PALegacyFinEntVANI,vani.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf"
*.west.aspgov.com,no,,,WEST,PALegacyFinEntWEST,west.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf"
*.westcloud.aspgov.com,yes,,,WEST,PALegacyFinEntWEST,west.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf,trkwb,etawb"
*.ncrtdcloud.aspgov.com,yes,,,NCRTD,PALegacyFinEntNCRTD,ncrtd.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf,trkwb,etawb"
*.elkocloud.aspgov.com,yes,,,ELKO,PALegacyFinEntELKO,elko.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf,trkwb,etawb"
*.lwclcloud.aspgov.com,yes,yes,,LWCL,PALegacyFinEntLWCL,lwcl.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf"
*.beltcloud.aspgov.com,yes,,,BELT,PALegacyFinEntBELT,belt.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf,trkwb,etawb"
*.pocacloud.aspgov.com,no,,,POCA,PALegacyFinEntPOCA,poca.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf"
*.tehcloud.aspgov.com,yes,,,TEH,PALegacyFinEntTEH,teh.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf,trkwb,etawb"
*.sanacloud.aspgov.com,yes,,,SANA,PALegacyFinEntSANA,sana.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf,trkwb,etawb"
*.dcsccloud.aspgov.com,yes,,,DCSC,PALegacyFinEntDCSC,dcsc.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf,trkwb,etawb"
*.rckccloud.aspgov.com,yes,,,RCKC,PALegacyFinEntRCKC,rckc.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf,trkwb,etawb"
*.camcocloud.aspgov.com,yes,,,CAMCO,PALegacyFinEntCAMCO,camco.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf,trkwb,etawb"
*.cdrfcloud.aspgov.com,yes,yes,,CDRF,PALegacyFinEntCDRF,cdrf.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf"
*.svcsdemocloud.aspgov.com,no,,,SVCSDEMO,PALegacyFinEntSVCSDEMO,svcsdemo.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf"
*.sjrtdcloud.aspgov.com,yes,,,SJRTD,PALegacyFinEntSJRTD,sjrtd.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf,trkwb,etawb"
*.yavacloud.aspgov.com,yes,,,YAVA,PALegacyFinEntYAVA,yava.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf,trkwb,etawb"
*.solcloud.aspgov.com,yes,,,SOL,PALegacyFinEntSOL,sol.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf,trkwb,etawb"
*.mukicloud.aspgov.com,yes,,,MUKI,PALegacyFinEntMUKI,muki.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf,trkwb,etawb"
*.washccloud.aspgov.com,no,,,WASHC,PALegacyFinEntWASHC,washc.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf"
*.sltcloud.aspgov.com,yes,,,SLT,PALegacyFinEntSLT,slt.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf,trkwb,etawb"
*.enccloud.aspgov.com,yes,,,ENC,PALegacyFinEntENC,enc.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf,trkwb,etawb"
*.hiccloud.aspgov.com,yes,,,HIC,PALegacyFinEntHIC,hic.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf,trkwb,etawb"
*.compcloud.aspgov.com,yes,,,COMP,PALegacyFinEntCOMP,comp.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf,trkwb,etawb"
*.smiacloud.aspgov.com,yes,,,SMIA,PALegacyFinEntSMIA,smia.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf,trkwb,etawb"
*.lkwocloud.aspgov.com,yes,,,LKWO,PALegacyFinEntLKWO,lkwo.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf,trkwb,etawb"
*.owacloud.aspgov.com,yes,yes,,OWA,PALegacyFinEntOWA,owa.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf"
*.oclscloud.aspgov.com,yes,,,OCLS,PALegacyFinEntOCLS,ocls.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf,trkwb,etawb"
*.esccloud.aspgov.com,no,,,ESC,PALegacyFinEntESC,esc.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf"
*.crctcloud.aspgov.com,yes,,,CRCT,PALegacyFinEntCRCT,crct.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf,trkwb,etawb"
*.tmlcloud.aspgov.com,yes,,,TML,PALegacyFinEntTML,tml.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf,trkwb,etawb"
*.sdspcloud.aspgov.com,yes,,,SDSP,PALegacyFinEntSDSP,sdsp.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf,trkwb,etawb"
*.lvrncloud.aspgov.com,yes,,,LVRN,PALegacyFinEntLVRN,lvrn.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf,trkwb,etawb"
*.aspgov.com,yes,,,COMMDEV,PALegacyCommDev,aspgov.pri,,trkwb
*.aspgov.com,yes,,,NAVILINE,PALegacyNaviLine,aspgov.pri,,fusion
*.aspgov.com,yes,,,ANALYTICS,PALegacyAnalytics,aspgov.pri,,cogwb
*.aspgov.com,yes,,,PLUS,PALegacyPlus,aspgov.pri,,"plsap,plsjb,plswf,cogwb"
