active,id,name
True,232055,BRENT-PCOGWB001.aspgov.pri
True,231874,BRENT-TTRKWB001.aspgov.pri
True,231873,BRENT-PTRKWB001.aspgov.pri
True,231116,BRENT-TONSRP001.brent.cloud.lcl
True,231115,BRENT-TONSOL001.brent.cloud.lcl
True,231114,BRENT-TONSJB001.brent.cloud.lcl
True,231113,BRENT-TONSAP001.brent.cloud.lcl
False,231112,BRENT-PXSF002.brent.cloud.lcl
True,231111,BRENT-PONSRP101.brent.cloud.lcl
True,231110,BRENT-PONSOL101.brent.cloud.lcl
True,231109,BRENT-PONSJB101.brent.cloud.lcl
True,231108,BRENT-PONSAP101.brent.cloud.lcl
